Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 Hrate:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 Hrate:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 Hrate:_3 sel(B):_4 dead(B):_4 retain(B):_4 sel(N):_4 dead(N):_4 retain(N):_4 obs_cat:_4 Hrate:_4 sel(B):_5 dead(B):_5 retain(B):_5 sel(N):_5 dead(N):_5 retain(N):_5 obs_cat:_5 Hrate:_5 SSB_vir_LH ABC_buffer
1 1951 TIME 1 164483 157405 81115.2 42565.2  81115.2  90630.9 66774.1  94496.5 84876.9  509.343 509.343 504.25 442.012 442.012 437.592 504.25 0.00388942  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  50.1939 50.1939 49.69 46.525 46.525 46.0579 49.69 0.000360287 81115.2 NA
1 1952 TIME 1 163366 156346 80613.7 42458.4  80613.7  90034.9 66310.7  93761.5 84206.3  506.121 506.121 501.06 438.959 438.959 434.569 501.06 0.00388926  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  40.8299 40.8299 40.42 37.8175 37.8175 37.4379 40.42 0.000294993 80613.7 NA
1 1953 TIME 1 162232 155256 80091.9 42553.8  80091.9  89421.9 65833.7  93021.8 83532.2  459.869 459.869 455.27 398.601 398.601 394.615 455.27 0.00355742  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  14.1723 14.1723 14.03 13.1173 13.1173 12.9856 14.03 0.000103096 80091.9 NA
1 1954 TIME 1 161157 154205 79586.1 42915.8  79586.1  88831.8 65372.9  92320.2 82892.6  430.525 430.525 426.22 372.939 372.939 369.21 426.22 0.00335226  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  21.9302 21.9302 21.71 20.2841 20.2841 20.0804 21.71 0.000160602 79586.1 NA
1 1955 TIME 1 160116 153160 79072.7 43604.2  79072.7  88243.5 64916.4  91654.2 82287.3  450.848 450.848 446.34 390.332 390.332 386.429 446.34 0.00353414  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  18.8391 18.8391 18.65 17.4157 17.4157 17.2409 18.65 0.000138908 79072.7 NA
1 1956 TIME 1 159113 152113 78539.2 44636.9  78539.2  87649.6 64463.6  91040.4 81733.9  564.485 564.485 558.84 488.524 488.524 483.639 558.84 0.00445621  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  42.4663 42.4663 42.04 39.2473 39.2473 38.8533 42.04 0.000315331 78539.2 NA
1 1957 TIME 1 158087 150997 77934.8 45908.9  77934.8  87006.2 63990.4  90475.7 81234.4  730.061 730.061 722.76 631.763 631.763 625.446 722.76 0.00580977  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  38.355 38.355 37.97 35.4557 35.4557 35.0997 37.97 0.000287045 77934.8 NA
1 1958 TIME 1 157089 149857 77270.6 47085.4  77270.6  86335.8 63521  90018.5 80844.6  671.606 671.606 664.89 581.396 581.396 575.582 664.89 0.00539222  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  37.1126 37.1126 36.74 34.3392 34.3392 33.9945 36.74 0.000280099 77270.6 NA
1 1959 TIME 1 156401 148988 76699.5 47643.2  76699.5  85808.1 63179.5  89841.8 80718  649.242 649.242 642.75 562.53 562.53 556.905 642.75 0.00525307  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  29.1224 29.1224 28.83 26.991 26.991 26.7201 28.83 0.000221347 76699.5 NA
1 1960 TIME 1 156032 148436 76235.4 47253.7  76235.4  85446.2 62989.5  89991.8 80898.6  796.758 796.758 788.79 691.398 691.398 684.484 788.79 0.00648743  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  22.3039 22.3039 22.08 20.7245 20.7245 20.5165 22.08 0.000170429 76235.4 NA
1 1961 TIME 1 155823 148103 75817.3 45931.6  75817.3  85189.1 62914.2  90417 81343.4  668.333 668.333 661.65 581.334 581.334 575.521 661.65 0.00547219  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  15.5966 15.5966 15.44 14.5448 14.5448 14.3987 15.44 0.000119685 75817.3 NA
1 1962 TIME 1 155998 148273 75627.1 45180  75627.1  85207.4 63065.5  91173.6 82090.5  749.242 749.242 741.75 653.72 653.72 647.183 741.75 0.00614855  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  15.9602 15.9602 15.8 14.9473 14.9473 14.7973 15.8 0.000122574 75627.1 NA
1 1963 TIME 1 156258 148643 75551.9 45770.9  75551.9  85334.1 63308.8  91948.5 82849.4  417.636 417.636 413.46 365.713 365.713 362.056 413.46 0.00342807  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  20.1523 20.1523 19.95 18.9571 18.9571 18.7668 19.95 0.000154589 75551.9 NA
1 1964 TIME 1 156904 149430 75796.4 47397.7  75796.4  85716.9 63713.3  92652.5 83515.6  594.121 594.121 588.18 522.01 522.01 516.79 588.18 0.00485448  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  13.2429 13.2429 13.11 12.4993 12.4993 12.3738 13.11 0.000101044 75796.4 NA
1 1965 TIME 1 157395 149925 76033.6 49286.7  76033.6  85954.6 63970.1  92815.7 83666.5  241.121 241.121 238.71 212.402 212.402 210.278 238.71 0.00196074  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  0 0 0 0 0 0 0 0  20.9604 20.9604 20.75 19.8191 19.8191 19.6201 20.75 0.00015916 76033.6 NA
1 1966 TIME 1 158251 150604 76489.7 51456.3  76489.7  86329.2 64274.5  92897.8 83722.2  585.303 585.303 579.45 516.08 516.08 510.92 579.45 0.00472451  0 0 0 0 0 0 0 0  3670 3670 3670 2957.78 2957.78 2957.78 3670 0.0344806  0 0 0 0 0 0 0 0  38.1934 38.1934 37.81 36.1049 36.1049 35.7425 37.81 0.000288117 76489.7 NA
1 1967 TIME 1 155446 147519 74660.5 51207.3  74660.5  84386.9 63132.5  91423.9 82597.7  895.263 895.263 886.31 791.826 791.826 783.908 886.31 0.00738857  0 0 0 0 0 0 0 0  3902 3902 3902 3154.26 3154.26 3154.26 3902 0.0375428  0 0 0 0 0 0 0 0  33.3649 33.3649 33.03 31.6509 31.6509 31.3332 33.03 0.000257195 74660.5 NA
1 1968 TIME 1 152634 144445 72689.3 48147.1  72689.3  82427.4 62017.9  90368 81874.8  416.576 416.576 412.41 369.747 369.747 366.049 412.41 0.00352625  0 0 0 0 0 0 0 0  1956 1956 1956 1585.91 1585.91 1585.91 1956 0.0193364  0 0 0 0 0 0 0 0  20.2735 20.2735 20.07 19.3284 19.3284 19.1344 20.07 0.000160067 72689.3 NA
1 1969 TIME 1 152598 144302 72300.4 42174.9  72300.4  82224.8 62076.9  91024.1 82582.5  474.242 474.242 469.5 421.944 421.944 417.725 469.5 0.00403496  0 0 0 0 0 0 0 0  358 358 358 290.79 290.79 290.79 358 0.00356094  0 0 0 0 0 0 0 0  20.1826 20.1826 19.98 19.3171 19.3171 19.1231 19.98 0.000159945 72300.4 NA
