Area Yr Era Seas Bio_all Bio_smry SpawnBio Recruit_0  SpawnBio_GP:1 SmryBio_SX:1_GP:1 SmryBio_SX:2_GP:1 SmryNum_SX:1_GP:1 SmryNum_SX:2_GP:1 sel(B):_1 dead(B):_1 retain(B):_1 sel(N):_1 dead(N):_1 retain(N):_1 obs_cat:_1 F:_1 sel(B):_2 dead(B):_2 retain(B):_2 sel(N):_2 dead(N):_2 retain(N):_2 obs_cat:_2 F:_2 sel(B):_3 dead(B):_3 retain(B):_3 sel(N):_3 dead(N):_3 retain(N):_3 obs_cat:_3 F:_3 SSB_vir_LH ABC_buffer
1 1933 TIME 1 284630 270447 112733 8755.94  112733  134678 135768  56965.3 77373.9  1165.21 1108.36 1094.08 568.717 529.718 519.454 1094.08 0.0157692  0 0 0 0 0 0 0 0  472.184 450.528 428.731 343.125 302.874 261.622 428.731 0.00767825 112733 NA
1 1934 TIME 1 279822 266021 110717 8658.74  110717  132342 133679  56011.8 76199.1  2085.7 1983.65 1958.01 1019.11 949.025 930.569 1958.01 0.0288849  0 0 0 0 0 0 0 0  750.518 716.078 681.414 545.284 481.023 415.155 681.414 0.0124673 110717 NA
1 1935 TIME 1 273950 260520 108134 10284.2  108134  129272 131248  54712.7 74804.5  2643.71 2514.08 2481.48 1293.19 1204.08 1180.36 2481.48 0.0376458  0 0 0 0 0 0 0 0  993.725 947.796 901.509 723.669 637.785 549.342 901.509 0.0169029 108134 NA
1 1936 TIME 1 267870 254136 105171 7799.76  105171  125645 128490  53134.8 73185.2  2147.2 2041.82 2015.35 1050.51 977.999 958.957 2015.35 0.0314319  0 0 0 0 0 0 0 0  374.947 356.003 336.953 280.625 244.296 207.206 336.953 0.00642368 105171 NA
1 1937 TIME 1 262816 248888 102708 7874.64  102708  122719 126169  51909.2 71857.5  2446.96 2326.78 2296.59 1197.48 1114.85 1093.12 2296.59 0.0367438  0 0 0 0 0 0 0 0  255.911 243.75 231.517 188.499 166.247 143.474 231.517 0.00444408 102708 NA
1 1938 TIME 1 257597 243652 100260 10039.4  100260  119757 123895  50688 70574.8  2362.95 2246.45 2217.14 1158.39 1078.13 1056.7 2217.14 0.0363044  0 0 0 0 0 0 0 0  283.94 271.003 257.963 207.385 183.533 158.942 257.963 0.00501856 100260 NA
1 1939 TIME 1 252975 240312 98068.9 9666.47  98068.9  117845 122467  50196.9 70026.9  2611.22 2480.99 2448.23 1285.76 1195.54 1171.51 2448.23 0.0406972  0 0 0 0 0 0 0 0  329.172 312.346 295.399 247.579 215.071 181.698 295.399 0.00600163 98068.9 NA
1 1940 TIME 1 248579 234837 95759.2 9075.17  95759.2  114775 120062  48740.7 68499.9  2003.24 1903.2 1878.04 987.344 918.131 899.76 1878.04 0.0315174  0 0 0 0 0 0 0 0  337.606 319.58 301.437 258.374 224.177 189.153 301.437 0.00610651 95759.2 NA
1 1941 TIME 1 245103 230069 93820.3 7995.19  93820.3  112204 117865  47591 67175.2  1761.8 1674.34 1652.36 866.22 805.839 789.9 1652.36 0.0282908  0 0 0 0 0 0 0 0  544.761 516.33 487.735 416.451 363.419 309.214 487.735 0.00976156 93820.3 NA
1 1942 TIME 1 241652 227525 92209 8079.23  92209  110881 116643  47352.1 66749.6  2305.2 2295.81 2293.38 1137.06 1130.16 1127.86 2293.38 0.0374529  0 0 0 0 0 0 0 0  937.215 936.353 935.37 703.469 701.265 698.152 935.37 0.0173195 92209 NA
1 1943 TIME 1 237063 224049 90368.4 8369.4  90368.4  108982 115067  46697.5 65973.9  1847.76 1840.14 1838.17 915.572 909.968 908.086 1838.17 0.0300481  0 0 0 0 0 0 0 0  2088.75 2086.81 2084.58 1553.43 1548.42 1541.23 2084.58 0.0401208 90368.4 NA
