year,method,mase,stock_name,period,depletion,autocorrS,autocorrR,num_yrs,log_sigmaR_full,log_sigmaR_test,regime_shift,detectable_SR,region
13,Beverton-Holt,3.0791722716937917,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,Beverton-Holt,3.361293111801784,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,Beverton-Holt,3.440783711143732,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,Beverton-Holt,3.9635004749388103,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,Beverton-Holt,3.921974962541464,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,Beverton-Holt,3.4135166886627353,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,Beverton-Holt,2.919400144639739,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,Beverton-Holt,2.7566765024198245,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,Beverton-Holt,2.6943797839501555,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,Beverton-Holt,2.6788962248157446,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,Beverton-Holt,7.390835114074347,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,Beverton-Holt,2.3392471069010816,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,Beverton-Holt,3.5184487002423293,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,simplex,2.584321902821443,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,simplex,3.1671174851722292,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,simplex,2.831391658435748,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,simplex,3.4935593833818936,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,simplex,4.47267131746152,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,simplex,4.048098621395996,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,simplex,4.023401153101958,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
8,simplex,4.333946361727929,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
9,simplex,5.120387286849434,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
10,simplex,4.843382388796666,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
11,simplex,5.592280454391727,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
12,simplex,3.8536149582377,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
13,simplex,6.041721041932653,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
14,simplex,4.722004525464006,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
15,simplex,4.415834350177884,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
16,simplex,3.977958688290551,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
17,simplex,3.393414810712232,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
18,simplex,2.4939262699432523,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
19,simplex,3.4438299903295064,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
20,simplex,3.998663864981978,arrowtooth_flounder_bsai,mid,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
21,simplex,4.414198317635493,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
22,simplex,4.357425391067534,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
23,simplex,7.43159643903315,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
24,simplex,4.812424958107072,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
25,simplex,4.429210871154963,arrowtooth_flounder_bsai,late,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
1,PELT,1.8558543378639165,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
2,PELT,1.6928815949778897,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
3,PELT,1.4237197918296456,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
4,PELT,1.3477263853503236,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
5,PELT,2.853440208314266,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
6,PELT,2.15539124219616,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
7,PELT,1.6150254949925227,arrowtooth_flounder_bsai,early,0.2652216678953392,0.9673045381725592,0.6404757347767552,43,0.7594457784789926,0.35481002967521635,1,2,BSAI
