method,coverage_prob,stock_name,type
Beverton-Holt,0.8125,sablefish,long
simplex,0.78125,sablefish,long
PELT,0.84375,sablefish,long
mean,0.6,splitnose,long
AR(1),0.36666666666666664,splitnose,long
Beverton-Holt,0.6,splitnose,long
simplex,0.6666666666666666,splitnose,long
HMM,0.43333333333333335,splitnose,long
PELT,0.5333333333333333,splitnose,long
mean,0.8666666666666667,widow,long
AR(1),0.8666666666666667,widow,long
Beverton-Holt,0.8666666666666667,widow,long
simplex,0.8333333333333334,widow,long
PELT,0.7333333333333333,widow,long
mean,1,yelloweye,long
AR(1),0.9444444444444444,yelloweye,long
Beverton-Holt,0.8888888888888888,yelloweye,long
simplex,1,yelloweye,long
HMM,0.6111111111111112,yelloweye,long
PELT,0.8888888888888888,yelloweye,long
